,username,end_time,white_username,black_username,Result,StartTime
48,AGcuber19,02:32:56,AGcuber19,oyomariano,0-1,02:29:29
49,AGcuber19,15:53:27,AGcuber19,werd24,1-0,15:41:12
50,AGcuber19,16:09:18,AGcuber19,KoncuwA,1-0,15:53:32
51,AGcuber19,16:37:36,AGcuber19,rz111111,1-0,16:32:18
52,AGcuber19,16:41:43,borec968,AGcuber19,1-0,16:40:37
53,AGcuber19,16:55:06,Sakaruuu,AGcuber19,1-0,16:41:44
54,AGcuber19,17:03:36,AGcuber19,x-9017967816,0-1,16:55:06
55,AGcuber19,17:16:02,logisticpavillion,AGcuber19,0-1,17:03:48
56,AGcuber19,17:17:07,azt3ak,AGcuber19,1-0,17:16:10
57,AGcuber19,17:23:16,KDeeeeeeeep,AGcuber19,0-1,17:17:15
58,AGcuber19,17:31:04,AGcuber19,houston556,1-0,17:23:28
59,AGcuber19,17:55:21,AGcuber19,clintcav,0-1,17:41:50
60,AGcuber19,18:05:57,AGcuber19,ggalls30,1-0,17:55:19
61,AGcuber19,18:07:26,colemandan45,AGcuber19,1-0,18:06:05
62,AGcuber19,18:11:51,AGcuber19,wabbet,0-1,18:07:33
63,AGcuber19,18:12:11,HermanPoulsen,AGcuber19,0-1,18:12:11
64,AGcuber19,18:21:50,Kinemonn,AGcuber19,1-0,18:12:27
65,AGcuber19,18:23:52,TheLM30,AGcuber19,0-1,18:21:54
66,AGcuber19,21:43:12,AGcuber19,LordDen1985,0-1,21:39:54
67,AGcuber19,21:47:07,hic17,AGcuber19,1/2-1/2,21:43:26
68,AGcuber19,21:52:40,Ryan_Zaleski,AGcuber19,1-0,21:47:14
69,AGcuber19,22:03:18,AGcuber19,Drika33,1/2-1/2,21:52:45
70,AGcuber19,22:12:39,AGcuber19,eowyn4,0-1,22:03:41
71,AGcuber19,22:26:30,AGcuber19,hedvallN,1-0,22:12:50
72,AGcuber19,22:28:30,AGcuber19,AleZeES15,0-1,22:26:43
73,AGcuber19,22:31:33,AGcuber19,Mmaarrcceel,1-0,22:28:37
74,AGcuber19,23:52:12,blackberry802,AGcuber19,0-1,23:50:40
75,AGcuber19,23:58:44,sylvanusogbu,AGcuber19,1-0,23:52:29
76,AGcuber19,01:06:28,Bataplas,AGcuber19,1-0,00:57:58
77,AGcuber19,01:08:16,AGcuber19,EricJaye3,0-1,01:06:35
78,AGcuber19,01:12:46,merajmithsu,AGcuber19,0-1,01:08:23
79,AGcuber19,01:22:47,AGcuber19,kevinshearer111,0-1,01:12:46
80,AGcuber19,01:24:19,Pman4bruh,AGcuber19,0-1,01:22:52
81,AGcuber19,01:33:54,swisschessmate,AGcuber19,1-0,01:24:19
82,AGcuber19,15:14:53,deezy216,AGcuber19,1-0,15:13:04
83,AGcuber19,15:29:31,AGcuber19,AamerAA,1-0,15:14:47
84,AGcuber19,15:34:20,AGcuber19,DubiousDriver,1-0,15:29:34
85,AGcuber19,15:42:38,AGcuber19,parthi1967,0-1,15:34:27
86,AGcuber19,15:47:38,AGcuber19,dancoffey4444,1-0,15:42:41
87,AGcuber19,15:48:32,AGcuber19,EDI2x,1-0,15:47:53
88,AGcuber19,15:56:43,AGcuber19,TxxNoah,1-0,15:48:40
89,AGcuber19,16:16:09,AtharvA_KaranjkaR,AGcuber19,1-0,16:12:10
90,AGcuber19,16:26:26,ashi1388,AGcuber19,0-1,16:16:21
91,AGcuber19,16:29:08,StunningAuthor,AGcuber19,1-0,16:26:52
92,AGcuber19,16:34:01,AGcuber19,mtritz,1-0,16:29:09
93,AGcuber19,17:03:16,nickmatthews10,AGcuber19,0-1,17:02:53
94,AGcuber19,17:06:22,Shuvroislam,AGcuber19,1-0,17:03:46
95,AGcuber19,17:11:23,quehay,AGcuber19,1-0,17:06:22
96,AGcuber19,17:17:36,AGcuber19,avachode,1-0,17:11:27
97,AGcuber19,17:26:11,AGcuber19,ivetaluongova,1-0,17:17:45
98,AGcuber19,17:28:18,AGcuber19,MichyFachero,1-0,17:27:13
99,AGcuber19,17:39:10,AGcuber19,kreshay123,1-0,17:32:29
100,AGcuber19,17:52:54,asteroid_b612,AGcuber19,1-0,17:47:50
101,AGcuber19,17:56:37,AhmadObeiat,AGcuber19,1-0,17:53:03
102,AGcuber19,17:59:52,neklefeu123,AGcuber19,1-0,17:56:43
103,AGcuber19,18:12:00,AGcuber19,waleed808080,0-1,18:00:04
104,AGcuber19,18:13:08,kudzu850,AGcuber19,0-1,18:13:08
105,AGcuber19,18:19:59,palkrish47,AGcuber19,1-0,18:13:34
106,AGcuber19,18:28:42,Baranqwert,AGcuber19,0-1,18:20:06
107,AGcuber19,18:40:40,AGcuber19,Baranqwert,0-1,18:28:52
108,AGcuber19,20:49:11,Streams222,AGcuber19,1-0,20:46:42
109,AGcuber19,20:53:35,AGcuber19,powA99,0-1,20:49:14
110,AGcuber19,20:56:23,AGcuber19,finistemporis17,0-1,20:54:18
111,AGcuber19,20:58:38,AGcuber19,TravioliRaviolis,0-1,20:56:27
112,AGcuber19,21:01:36,SelfMatePawn,AGcuber19,1-0,21:00:10
113,AGcuber19,21:01:53,AGcuber19,Bartolo18,1-0,21:01:43
114,AGcuber19,21:04:08,AGcuber19,JaCrispy132,1-0,21:01:55
115,AGcuber19,21:06:21,Ferrari069,AGcuber19,0-1,21:04:14
116,AGcuber19,21:08:08,Elooon,AGcuber19,1-0,21:06:25
117,AGcuber19,21:17:38,oferm1,AGcuber19,1-0,21:15:27
118,AGcuber19,21:17:53,AGcuber19,Kto_cb_pytal,1-0,21:17:44
119,AGcuber19,21:19:37,majddimyati,AGcuber19,0-1,21:17:56
120,AGcuber19,21:21:44,hifromireland,AGcuber19,1-0,21:19:40
121,AGcuber19,21:22:10,AkramQw,AGcuber19,1-0,21:21:48
122,AGcuber19,22:13:04,AGcuber19,bmorse0,1-0,22:00:24
123,AGcuber19,16:22:40,AGcuber19,EmmaXLi,1/2-1/2,15:48:34
124,AGcuber19,20:10:49,aidenxzhou,AGcuber19,1-0,20:00:08
125,AGcuber19,21:00:15,AGcuber19,Elaine201,1-0,20:39:19
126,AGcuber19,21:17:32,JasonCao69,AGcuber19,0-1,21:04:34
127,AGcuber19,21:43:10,LukeWang1019,AGcuber19,1-0,21:36:06
128,AGcuber19,15:10:31,tianminlyu,AGcuber19,1-0,15:01:27
129,AGcuber19,15:47:12,AGcuber19,chzpvw,1-0,15:41:16
130,AGcuber19,15:55:09,AGcuber19,albertoherto,1-0,15:47:18
131,AGcuber19,15:59:45,AGcuber19,frosty28,0-1,15:57:34
132,AGcuber19,16:01:31,Pascalonius,AGcuber19,1-0,15:59:49
133,AGcuber19,16:02:06,AGcuber19,GATOQUEEN,1-0,16:01:36
134,AGcuber19,16:03:19,AGcuber19,Masdfqwe123,0-1,16:02:10
135,AGcuber19,16:43:09,grandong_mu,AGcuber19,0-1,16:39:51
136,AGcuber19,20:52:20,yaoamy,AGcuber19,0-1,20:45:05
137,AGcuber19,21:34:37,AGcuber19,andrewlovechess,0-1,21:21:41
138,AGcuber19,22:17:16,lipengye,AGcuber19,0-1,21:55:28
139,AGcuber19,22:50:25,AGcuber19,LauraW0115,0-1,22:27:37
140,AGcuber19,23:02:24,AGcuber19,Barbuddo,0-1,22:50:56
141,AGcuber19,23:11:34,AGcuber19,JelliedWig77,0-1,23:02:38
142,AGcuber19,23:15:06,SweetWildFire01,AGcuber19,0-1,23:11:50
143,AGcuber19,02:12:15,AGcuber19,That1AudioGuy,1-0,02:08:12
144,AGcuber19,02:21:29,NellyNellie,AGcuber19,0-1,02:12:31
145,AGcuber19,02:38:19,AGcuber19,tangledvines,1-0,02:21:42
146,AGcuber19,15:57:13,samnorval,AGcuber19,0-1,15:52:35
147,AGcuber19,18:24:48,billy250qye,AGcuber19,0-1,18:20:54
148,AGcuber19,16:21:50,AGcuber19,bossXXXpedro,0-1,16:15:46
149,AGcuber19,16:25:21,Will_Spark,AGcuber19,1-0,16:22:07
150,AGcuber19,16:37:16,Chowdermate,AGcuber19,1-0,16:25:19
151,AGcuber19,16:39:06,AGcuber19,ultragrandmasterelite,1-0,16:38:40
152,AGcuber19,16:43:22,AGcuber19,Reyseruth,0-1,16:39:06
153,AGcuber19,16:55:19,AGcuber19,thereal_73,1-0,16:51:27
154,AGcuber19,16:57:13,AGcuber19,jmseyelx,1-0,16:55:30
155,AGcuber19,14:05:17,moozy79,AGcuber19,0-1,14:01:55
156,AGcuber19,18:30:11,AGcuber19,MrHeathy,1-0,18:21:41
157,AGcuber19,18:36:37,AGcuber19,Lankard,1-0,18:34:46
158,AGcuber19,14:13:06,AGcuber19,JDawg9231,0-1,13:58:45
159,AGcuber19,14:28:02,claudejory,AGcuber19,1/2-1/2,14:13:40
160,AGcuber19,14:46:00,OnlyGayOnFriday,AGcuber19,1/2-1/2,14:28:32
161,AGcuber19,14:52:09,dinei961487,AGcuber19,0-1,14:46:14
162,AGcuber19,14:56:51,AGcuber19,Levcher_88,1-0,14:56:34
163,AGcuber19,15:09:20,dalimiro,AGcuber19,1-0,14:57:07
164,AGcuber19,15:11:18,AGcuber19,DingDongx,0-1,15:09:28
165,AGcuber19,15:13:12,swagmiti,AGcuber19,1-0,15:11:25
